query_id,precision_at_10
1,0.3
2,0.2
3,0.4
4,0.2
5,0.8
6,0.5
7,0.5
8,0.2
9,0.2
10,0.5
11,0.8
12,0.0
13,0.4
14,0.3
15,0.8
16,0.6
17,0.5
18,0.8
19,0.0
20,0.9
21,0.5
22,0.8
23,0.0
24,0.2
25,0.5
26,0.6
27,0.2
28,0.4
29,0.4
30,0.4
31,0.8
32,0.3
33,0.8
34,0.6
35,0.5
36,0.2
37,0.9
38,0.7
39,0.4
40,0.4
41,0.4
42,0.9
43,0.8
44,0.7
45,0.5
46,0.4
47,0.1
48,0.2
49,0.8
50,0.5
51,0.7
52,0.1
53,0.3
54,0.8
55,0.2
56,0.3
57,0.6
58,0.6
59,0.5
60,0.1
61,0.9
62,0.4
63,0.4
64,0.2
65,0.3
66,0.3
67,0.3
68,0.4
69,0.5
70,0.4
71,0.3
72,0.6
73,0.4
74,0.2
75,0.6
76,0.5
77,0.2
78,0.4
79,0.4
80,0.6
81,0.6
82,0.7
83,0.4
84,0.6
85,0.3
86,0.4
87,0.1
88,0.2
89,0.5
90,1.0
91,0.5
92,0.8
94,0.6
95,0.3
96,0.4
97,0.3
98,0.3
99,0.3
100,0.3
